Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто,Адреса,Телефон,Email
Дзиндра,Володимир,Денисович,Чоловіча,1956-03-02,Детектив,хутір Довжанськ,"площа Монастирський, буд. 174, Ладижин, 06858",+380 26 958 85 70,lesandroshchuk@example.com
Тесля,Віталій,Янович,Чоловіча,2000-05-12,Бізнесмен,село Теплодар,"проспект Університетський, буд. 709 кв. 655, Середина-Буда, 19244",126 84 13,mykytaholoborodko@example.org
Назаренко,Альбіна,Кирилівна,Жіноча,1979-01-19,Публіцист,село Марганець,"узвіз Раїси Сергієнко, буд. 56 кв. 45, Трускавець, 50320",884-79-05,rudykvladyslav@example.com
Бабариченко,Іван,Олексійович,Чоловіча,1996-10-19,Фольклорист,хутір Залізне,"сквер Дев’ята, буд. 1 кв. 92, Дунаївці, 28516",+380 44 551-06-51,xazhazha@example.net
Гуцуляк,Гордій,Кирилович,Чоловіча,1949-10-25,Модельєр,місто Перевальськ,"шосе Рельєфна, буд. 572 кв. 58, Овруч, 19078",+380 81 208-93-18,tokarklavdiia@example.org
Мамчур,Кирило,Павлович,Чоловіча,2006-03-22,Фізик,селище Покров,"узвіз Лазурний 4-й, буд. 562, Родинське, 65580",+380 83 390 51 66,danchenkodavyd@example.com
Товстуха,Ада,Данилівна,Жіноча,1945-09-05,Інженер,село Покровськ,"площа Весела, буд. 8 кв. 8, Вознесенськ, 19910",+380 (96) 500-87-16,zabarakhoma@example.org
Данькевич,Тарас,Денисович,Чоловіча,1954-12-31,Електротехнік,селище Антрацит,"площа Приморська, буд. 3 кв. 09, Березне, 89234",+380 86 433-72-13,orestivasiuk@example.org
Чубай,Віра,Олександрівна,Жіноча,1995-09-15,Провізор,місто Городенка,"парк Горбатий міст, буд. 006, Долинська, 88300",+380 (93) 874-50-45,tereza66@example.com
Ісаєнко,Гліб,Денисович,Чоловіча,1956-05-06,Ювелір,селище Кагарлик,"провулок Садова, буд. 22 кв. 445, Ананьїв, 06821",+380 66 395-89-55,olenasyrotenko@example.net
Аронець,Христина,Артемівна,Жіноча,1938-05-07,Випробувач,селище Рогатин,"площа Транспортна, буд. 166, Буськ, 51548",+380 08 446 65 55,drobakhastanislav@example.com
Їжак,Дан,Тимофійович,Чоловіча,2004-11-13,Кінорежисер,село Сторожинець,"парк Одарія, буд. 74 кв. 303, Чистякове, 47555",626 84 06,taleksiichuk@example.org
Єфименко,Оксана,Назарівна,Жіноча,1939-06-23,Дипломат,селище Корець,"парк Мацієвської узвіз, буд. 3, Брянка, 34874",+380 (35) 466-85-45,panaszaruba@example.net
Голобородько,Мирон,Денисович,Чоловіча,1990-11-20,Бізнесмен,село Гайворон,"вулиця Айвазовського, буд. 5, Прилуки, 88558",+380 (37) 242-45-26,frants84@example.net
Луценко,Оксана,Михайлівна,Жіноча,1979-04-13,Кінокритик,селище Амвросіївка,"узвіз Кропивницького, буд. 32, Новий Розділ, 57404",+380 24 081 49 94,darynavertyporokh@example.org
Данькевич,Людмила,Михайлівна,Жіноча,1990-12-14,Нотаріус,місто Носівка,"вулиця Софії Перовської, буд. 07, Монастирище, 99681",661 74 23,osheremeta@example.org
Артим,Орися,Тимофіївна,Жіноча,1980-11-21,Конструктор,село Помічна,"парк Леха Качинського, буд. 5, Татарбунари, 68470",005 888 93 41,vdarahan@example.com
Швачка,Борис,Іванович,Чоловіча,1998-08-15,Продюсер,селище Феодосія,"вулиця Макова, буд. 86 кв. 516, Іршава, 32348",093 985-19-79,bevzsvitlana@example.org
Худяк,Клавдія,Романівна,Жіноча,2002-05-06,Художник,місто Сокологірськ,"проспект Бітумна, буд. 027 кв. 700, Вовчанськ, 28466",+380 97 343-42-00,ieremenkoonysym@example.net
Носаченко,Віолетта,Артемівна,Жіноча,1987-11-29,Льотчик,село Дунаївці,"парк Лінійний, буд. 317, Берислав, 79495",+380 (20) 131-14-34,lemeshkohordii@example.org
Свириденко,Богуслава,Назарівна,Жіноча,1957-10-26,Швачка,місто Миколаївка,"проспект Багринова, буд. 9, Новодружеськ, 86460",+380 53 091 23 11,serhii03@example.net
Семенченко,Мілена,Олексіївна,Жіноча,1939-07-20,Вчитель,хутір Токмак,"вулиця Романтичний, буд. 7 кв. 92, Волноваха, 78086",+380 (07) 907-64-67,opanas34@example.org
Єсипенко,Богуслав,Кирилович,Чоловіча,1981-11-08,Гірничий інженер,місто Тараща,"набережна Квіткова, буд. 311 кв. 665, Кропивницький, 11612",+380 66 572 48 23,xkomar@example.net
Онищенко,Стефан,Антонович,Чоловіча,1990-11-10,Менеджер,місто Копичинці,"шосе Скляний 2-й, буд. 3 кв. 5, Кривий Ріг, 66949",055 438-99-63,vashchukhennadii@example.org
Теличенко,Оксана,Тарасівна,Жіноча,1994-12-19,Кінокритик,село Хрестівка,"проспект Іванова Ігоря, буд. 99 кв. 924, Ворожба, 25295",045 564-73-09,xhavrysh@example.com
Дейнеко,Пріска,Тимурівна,Жіноча,1986-06-15,Краєзнавець,селище Копичинці,"парк Климовича, буд. 51, Нікополь, 27889",930 19 09,zhadanmariana@example.net
Перепелиця,Розалія,Іванівна,Жіноча,1972-11-30,Електромонтер,хутір Вишгород,"площа Проектна 1-ша, буд. 4 кв. 55, Перемишляни, 55891",023 645 15 71,tryhubparmen@example.org
Баранник,Назар,Олексійович,Чоловіча,1997-06-23,Музичний редактор,хутір Ічня,"узвіз Капітана Кузнецова, буд. 4 кв. 82, Кремінна, 88750",+380 13 274 06 94,ievhenbabak@example.net
Єрмоленко,Марія,Романівна,Жіноча,1983-05-11,Стропальник,село Узин,"проспект Сумський, буд. 40 кв. 6, Тернівка, 87246",+380 (99) 815-99-63,msuprunenko@example.com
Ярема,Віталій,Данилович,Чоловіча,1965-08-25,Музикознавець,місто Гайсин,"сквер тупик Хвиля, буд. 747 кв. 13, Золоте, 89430",049 932-83-07,shyianparmen@example.org
Зінчук,Лілія,Антонівна,Жіноча,1941-02-16,Сантехнік,село Дружківка,"шосе Парусна, буд. 866 кв. 856, Горохів, 26294",+380 56 917 12 87,medvedenkoomelian@example.net
Сацюк,Віктор,Тимофійович,Чоловіча,1953-05-06,Золотар,село Кам'янець-Подільський,"шосе Закарпатська, буд. 29, Павлоград, 02746",550 01 41,leontii09@example.com
Шаблій,Василина,Антонівна,Жіноча,2000-11-16,Нотаріус,селище Івано-Франківськ,"проспект Кладовищенська, буд. 371 кв. 6, Косів, 67572",077 454 80 67,serhii13@example.org
Савенко,Устим,Янович,Чоловіча,1939-10-17,Нотаріус,хутір Калинівка,"провулок Максима Чайки, буд. 2, Буринь, 66189",+380 43 368-16-50,myrontsybulenko@example.com
Павленко,Олекса,Данилович,Чоловіча,1971-03-24,Локсмайстер,хутір Носівка,"проспект Овідіопольська дорога, буд. 4 кв. 5, Берислав, 68769",029 493-74-38,prokhir30@example.com
Тарасенко,Орхип,Тимофійович,Чоловіча,1984-03-10,Золотар,місто Бар,"провулок Деволанівська, буд. 72 кв. 01, Світлодарськ, 27291",+380 80 701-53-76,viktoriia28@example.org
Сіробаба,Василь,Артемович,Чоловіча,1988-09-11,Антрополог,селище Тростянець,"сквер Халайджогло, буд. 052 кв. 600, Краматорськ, 60870",086 925 39 68,halyna96@example.com
Єрошенко,Вікторія,Тимофіївна,Жіноча,2001-02-13,Фізик,село Калинівка,"вулиця Амбулаторна, буд. 7, Вугледар, 48720",080 976-51-43,danyloiukhymenko@example.com
Гайда,Орхип,Іванович,Чоловіча,2005-04-23,Стиліст,місто Богодухів,"узвіз Разумовська, буд. 888 кв. 822, Рівне, 09761",+380 82 181 02 82,hanna94@example.net
Лисенко,Анастасія,Денисівна,Жіноча,1949-03-05,Інженер,хутір Деражня,"площа Добровольців, буд. 91 кв. 4, Моспине, 66153",031 409-67-58,valenkoemiliia@example.net
Усик,Аліна,Денисівна,Жіноча,1997-12-04,Психолог,село Біляївка,"провулок Стороженка Олега, буд. 1 кв. 4, Горішні Плавні, 73186",943-52-35,kovpakbohdan@example.net
Сацюк,Марʼяна,Артемівна,Жіноча,1943-09-07,Ді-джей,місто Пустомити,"площа Старобазарний, буд. 23 кв. 7, Рогатин, 72753",082 847 82 09,cherinkoievhen@example.org
Баштан,Вікторія,Петрівна,Жіноча,1962-11-07,Графік,селище Апостолове,"парк Шостої 2-й, буд. 29 кв. 47, Єнакієве, 20794",+380 39 607-89-11,jiushchenko@example.net
Іваничук,Опанас,Богданович,Чоловіча,1967-01-29,Хімік,місто Соснівка,"сквер Ткачова, буд. 56, Євпаторія, 19980",+380 79 040-77-19,bohuslavbaidak@example.com
Артимишин,Тетяна,Данилівна,Жіноча,1943-11-15,Режисер,хутір Винники,"сквер Госпітальний, буд. 709 кв. 160, Баранівка, 11763",782 47 86,lostapchuk@example.net
Масляк,Сніжана,Олексіївна,Жіноча,1996-05-12,Швачка,село Камінь-Каширський,"проспект Лінія 54-та, буд. 3, Кременець, 31284",798 47 23,iaremenkovitalii@example.com
Лазаренко,Олександр,Данилович,Чоловіча,1995-01-13,Бібліограф,місто Бердянськ,"набережна Тополина, буд. 267, Остер, 92276",+380 49 081-69-97,lkhomyk@example.net
Закусило,Ігор,Назарович,Чоловіча,1946-01-18,Літературознавець,місто Амвросіївка,"набережна Лиманчик 2-й Лінія 9-та, буд. 0 кв. 2, Берестечко, 06795",+380 61 742-29-42,kamilla21@example.org
Заруба,Василина,Богданівна,Жіноча,1982-09-29,Будник,село Самар,"набережна 21-й км Старокиївської дороги, буд. 90, Турка, 57156",+380 37 387-11-21,jtychyna@example.com
Арсенич,Дан,Сергійович,Чоловіча,1969-07-14,Медик,селище Любомль,"проспект Крушельницької, буд. 98 кв. 017, Бунге, 27824",056 268 56 89,drobiazkoparmen@example.net
Лесик,Ірена,Сергіївна,Жіноча,1944-07-15,Диригент,хутір Біла Церква,"шосе Восьмого березня, буд. 9, Гірник, 62115",010 968 76 58,myroniukhymenko@example.org
Артюшенко,Яків,Данилович,Чоловіча,1960-09-14,Шериф,село Арциз,"набережна Мариністів, буд. 87 кв. 9, Деражня, 48656",859-25-25,kopytkovladyslav@example.net
Корбут,Юстим,Михайлович,Чоловіча,1961-03-11,Медик,селище Семенівка,"сквер Карпатська, буд. 16, Вовчанськ, 46262",038 784-96-77,okseniiavasylevych@example.org
Гайда,Марія,Назарівна,Жіноча,1965-05-19,Математик,село Чуднів,"парк Скляний 2-й, буд. 73, Христинівка, 30379",398-24-25,serhiikhudobiak@example.com
Власенко,Пантелеймон,Артемович,Чоловіча,1992-12-20,Електротехнік,місто Євпаторія,"шосе Злакова, буд. 53 кв. 7, Бібрка, 31135",+380 30 498 82 76,avreliimatviienko@example.net
Дараган,Максим,Антонович,Чоловіча,1986-07-03,Локсмайстер,село Марганець,"площа Аркаса Миколи, буд. 677 кв. 71, Тараща, 81295",+380 77 389-85-19,huzenkoserhii@example.org
Копитко,Гліб,Янович,Чоловіча,1966-09-24,Штукатур,село Прилуки,"парк 2-га Лінія 4-ї ст. Люстдорфської дороги, буд. 393, Золоте, 75823",+380 80 925-60-60,avreliiarsenych@example.net
Алексюк,Леон,Павлович,Чоловіча,2003-03-07,Редактор,місто Тиврів,"сквер Ольгіївський узвіз, буд. 7 кв. 5, Пирятин, 72945",+380 77 393 71 69,iereskovioletta@example.org
Фурс,Пріска,Назарівна,Жіноча,1956-12-27,Бібліотекар,селище Гола Пристань,"шосе Килимова, буд. 8, Костопіль, 11775",912-57-77,varvara20@example.com
Вертипорох,Наталія,Артемівна,Жіноча,2006-05-17,Краєзнавець,хутір Старокостянтинів,"сквер Лятошинського, буд. 3, Сімферополь, 96180",985-40-60,irenareva@example.com
Тимченко,Орина,Андріївна,Жіноча,1999-07-25,Швачка,село Кропивницький,"шосе Багринова, буд. 68, Попасна, 81254",009-28-28,heorhii46@example.com
Шило,Станіслав,Павлович,Чоловіча,1938-08-17,Електрослюсар,місто Залізне,"узвіз Високий, буд. 696 кв. 3, Чернівці, 07028",+380 (93) 705-70-56,martyngzhytskyi@example.org
Гайдабура,Валентина,Петрівна,Жіноча,2005-07-08,Слідчий,хутір Южноукраїнськ,"вулиця Поштова, буд. 95 кв. 674, Трускавець, 25481",993-40-02,darahaniosyp@example.com
Нестайко,Борислав,Кирилович,Чоловіча,1978-09-15,Клавішник,місто Буча,"узвіз Шкільний аеродром, буд. 0 кв. 5, Бершадь, 21689",+380 92 427-56-20,iaroslava10@example.com
Ляшко,Емілія,Тарасівна,Жіноча,1958-01-10,Біолог,село Селидове,"провулок Калинова, буд. 20, Ровеньки, 42235",136 85 58,orynatsiupa@example.org
Арсенич,Захар,Назарович,Чоловіча,1989-03-24,Письменник,місто Рава-Руська,"шосе Солонцюватий 1-й, буд. 8, Хотин, 89205",+380 (52) 819-21-34,mvenhrynovych@example.org
Тимчук,Дарина,Данилівна,Жіноча,1942-03-21,Бібліотекар,хутір Белз,"площа Харківська, буд. 74 кв. 0, Гребінка, 72276",040 724-50-86,amaliiaivanchenko@example.com
Франко,Орися,Михайлівна,Жіноча,1955-01-01,Фармацевт,місто Токмак,"узвіз Слобідський узвіз, буд. 32 кв. 08, Борислав, 93565",002 290 86 00,tymofiiolifirenko@example.org
Ребрик,Єфрем,Янович,Чоловіча,1973-09-06,Антрополог,селище Христинівка,"сквер Святослава Ріхтера, буд. 1, Вижниця, 52223",+380 (66) 144-06-13,fedir56@example.org
Сич,Руслан,Денисович,Чоловіча,1993-07-02,Сценарист,місто Новогродівка,"узвіз Пересипська 4-та, буд. 51 кв. 872, Охтирка, 21599",+380 16 844-18-49,opanas14@example.org
Влох,Леон,Тимофійович,Чоловіча,1998-06-24,Стропальник,село Старобільськ,"набережна Хутірський, буд. 4, Залізне, 92642",+380 66 641-17-68,omelianlytvynenko@example.org
Сацюк,Ліза,Антонівна,Жіноча,1970-01-14,Економіст,хутір Гола Пристань,"сквер Донецька, буд. 61 кв. 1, Вилкове, 80608",839-16-04,bohodarieremenko@example.com
Килимник,Хома,Олексійович,Чоловіча,1973-10-15,Гірник,село Тернопіль,"сквер Ювілейний 2-й, буд. 21 кв. 32, Чугуїв, 78668",033 986 87 55,kyrylenkoedyta@example.net
Стець,Василина,Янівна,Жіноча,1984-06-07,Музикант,селище Ходорів,"шосе Садова 5-та, буд. 5 кв. 456, Марганець, 61710",909-60-15,arsen41@example.net
Примаченко,Олена,Тимурівна,Жіноча,1990-02-25,Адвокат,хутір Краматорськ,"парк Капітана Гаврікова, буд. 772, Рахів, 62019",071 940 70 99,fastenkoles@example.net
Теличенко,Ірина,Назарівна,Жіноча,1998-05-13,Графік,селище Володимир-Волинський,"проспект Обривиста, буд. 8, Городенка, 13057",059 136 69 73,yabramenko@example.com
Чміль,Охрім,Антонович,Чоловіча,1986-07-15,Драматург,селище Болград,"узвіз Кредитний, буд. 1 кв. 3, Південне, 78523",+380 73 938-42-13,oberemkoveniiamyn@example.org
Даниленко,Трохим,Тарасович,Чоловіча,1997-02-21,Сценарист,місто Збараж,"проспект Остапа Вишні, буд. 7, Бахмут, 66867",205-15-07,demianizhakevych@example.org
Гресь,Леопольд,Петрович,Чоловіча,2004-10-29,Намотувальник,місто Багачеве,"парк Пересипська 5-та, буд. 9 кв. 9, Харків, 32019",+380 62 660-52-86,otovstukha@example.org
Дейсун,Демʼян,Олександрович,Чоловіча,1984-09-22,Режисер,місто Шепетівка,"проспект Вапняний 1-й, буд. 8, Корюківка, 33192",+380 84 085 06 23,erika19@example.net
Рудик,Оксенія,Денисівна,Жіноча,1942-09-04,Фармацевт,хутір Павлоград,"узвіз Рівності 1-й, буд. 3 кв. 16, Васильків, 39369",027 006-21-49,shvaikaheorhii@example.net
Шутько,Болеслав,Петрович,Чоловіча,1992-06-08,Сценарист,місто П'ятихатки,"сквер Лінія 51-ша, буд. 842 кв. 409, Вишневе, 37783",616 50 31,orlyksymon@example.net
Шинкаренко,Опанас,Артемович,Чоловіча,1972-09-03,Графік,село Бердичів,"площа Київське, буд. 4, Івано-Франківськ, 02425",069 118 49 85,danylokomar@example.net
Макогон,Едита,Тарасівна,Жіноча,1965-08-06,Слідчий,місто Бахмут,"вулиця Приморський, буд. 81, Вільнянськ, 59294",+380 14 968-72-92,bohuslav06@example.org
Філіпенко,Михайлина,Олександрівна,Жіноча,1952-11-23,Штукатур,хутір Боково-Хрустальне,"шосе Астрономічна, буд. 011, Хутір-Михайлівський, 09626",+380 43 552-52-84,xshynkarenko@example.org
Титаренко,Аарон,Сергійович,Чоловіча,1967-10-03,Маркетолог,місто Ковель,"парк Картамишевська, буд. 325 кв. 924, Моспине, 60519",924 74 23,biaremko@example.com
Царенко,Оксенія,Тимофіївна,Жіноча,1939-08-22,Палеонтолог,місто Сарни,"узвіз Зоряна, буд. 06 кв. 599, Вашківці, 08730",+380 83 815 13 33,vasylechkosviatoslava@example.net
Алексеєнко,Наталія,Денисівна,Жіноча,1982-06-13,Співак,село Гнівань,"площа Львівська, буд. 093, Новгород-Сіверський, 57080",161-57-02,stanislav87@example.net
Батюк,Алевтин,Михайлович,Чоловіча,1993-07-15,Письменник,місто Снятин,"вулиця Рачкова, буд. 023, Глиняни, 89249",147 54 62,danna46@example.com
Саченко,Марʼяна,Артемівна,Жіноча,2000-08-11,Швачка,село Кам'янка-Дніпровська,"узвіз Амундсена, 3-й, буд. 265, Мирноград, 56660",+380 89 549 80 63,danyliukpanas@example.net
Андрієнко,Михайлина,Олексіївна,Жіноча,2006-02-24,Шериф,місто Теплодар,"парк Горбатий міст, буд. 77, Мелітополь, 72030",+380 63 371-72-94,perebyinistymofii@example.net
Стельмах,Алевтин,Тимофійович,Чоловіча,1968-11-02,Доцент,селище Часів Яр,"провулок Рибальський, буд. 440 кв. 956, Карлівка, 23472",138 11 75,zhaivoronaaron@example.net
Їжак,Мирослав,Павлович,Чоловіча,2000-01-30,Гірник,місто Дубно,"площа Лінійний, буд. 68, Самбір, 51166",069 312-62-58,emiliiarudyk@example.com
Байда,Георгій,Михайлович,Чоловіча,1976-10-03,Маркетолог,місто Белз,"проспект Театральний, буд. 518 кв. 4, Отаманівка, 71164",933-25-97,adam31@example.net
Годунок,Варвара,Кирилівна,Жіноча,1982-11-13,Ді-джей,село Золотоноша,"парк Кленова, буд. 85 кв. 61, Тлумач, 81824",+380 96 749 35 99,nskyba@example.org
Оробець,Амалія,Павлівна,Жіноча,1943-12-01,Скульптор,село Мена,"парк Сливова, буд. 82 кв. 72, Миргород, 86286",+380 48 775 11 83,fgalagan@example.com
Василевич,Мілена,Богданівна,Жіноча,1973-08-23,Фольклорист,село Новомиргород,"проспект Амбулаторний, буд. 1, Київ, 74112",+380 (90) 239-72-20,shchyrytsiamykolai@example.com
Свистун,Адам,Артемович,Чоловіча,1974-08-26,Електротехнік,село Тисмениця,"узвіз Партизанська, буд. 8, Берестечко, 49843",693 04 29,ktereshchenko@example.com
Тимчук,Вʼячеслав,Іванович,Чоловіча,1941-08-03,Психолог,селище Луцьк,"вулиця тупик Хвиля, буд. 376 кв. 96, Алмазна, 83693",+380 93 068-81-53,vira14@example.com
Філіпенко,Алла,Іванівна,Жіноча,1960-10-30,Археолог,селище Хрустальний,"набережна Приморський, буд. 8, Дунаївці, 19136",+380 82 152-71-06,hennadiizakusylo@example.com
Шаповал,Андрій,Тарасович,Чоловіча,1974-05-05,Хореограф,місто Хоростків,"провулок Шевченка парк, буд. 8 кв. 682, Хмельницький, 33342",+380 (68) 935-76-63,ada93@example.net
Івасюк,Ірина,Антонівна,Жіноча,1946-02-04,Няня,місто Звенигородка,"провулок Таїрова, буд. 3, Золотоноша, 30662",040 988 70 40,demydadamchuk@example.org
Корсун,Олесь,Антонович,Чоловіча,1985-02-14,Графік,хутір Щастя,"сквер Італійський, буд. 184 кв. 899, Корюківка, 19947",+380 85 965-99-25,ielysaveta16@example.org
Вернигора,Одарка,Петрівна,Жіноча,1959-09-01,Стоматолог,селище Рава-Руська,"узвіз Мерло, буд. 5, Люботин, 90782",078 157-54-02,spas13@example.com
Даньків,Вʼячеслав,Кирилович,Чоловіча,1979-09-24,Бібліотекар,місто Ржищів,"вулиця Одеський, буд. 1 кв. 605, Жмеринка, 71366",000 998 74 57,veniiamyn18@example.org
Сич,Олесь,Денисович,Чоловіча,2005-06-27,Кушнір,хутір Нікополь,"площа Сосюри, буд. 06 кв. 4, Балаклія, 62469",812 07 01,okhrim28@example.org
Рева,Маруся,Богданівна,Жіноча,1964-04-14,Няня,село Кривий Ріг,"узвіз Озерна, буд. 72, Родинське, 36607",+380 84 384 89 50,piddubnaada@example.net
Пʼятаченко,Тереза,Денисівна,Жіноча,1997-07-22,Дипломат,хутір Ужгород,"проспект Артилерійський 2-й, буд. 386 кв. 8, Вилкове, 96875",096 892-80-74,lusyk@example.com
Титаренко,Олег,Антонович,Чоловіча,1986-02-02,Ветеринар,село Ізяслав,"узвіз Павла Шклярука, буд. 828, Львів, 83607",190 56 60,pavlenkohavrylo@example.net
Фартушняк,Маруся,Романівна,Жіноча,1942-01-25,Стропальник,селище Кропивницький,"проспект Кільовий, буд. 5, Охтирка, 34669",+380 01 858 19 29,kmatviienko@example.com
Симоненко,Микита,Тимофійович,Чоловіча,2009-07-22,Інженер,місто Носівка,"сквер Джерельна, буд. 244, Шпола, 57442",+380 94 629 97 29,tetianashapoval@example.com
Стельмах,Роман,Романович,Чоловіча,1959-01-13,Мірошник,хутір Дніпро,"провулок Стеценко, буд. 3, Дунаївці, 15928",651 88 78,milena05@example.org
Пушкар,Єфрем,Романович,Чоловіча,1974-02-07,Фольклорист,селище Вугледар,"вулиця Рівності, буд. 706 кв. 5, Ладижин, 25338",+380 (75) 982-52-23,lizahrechanyk@example.net
Атаманчук,Тимофій,Олександрович,Чоловіча,1982-01-30,Менеджер,місто Шепетівка,"сквер Дружний, буд. 99, Лутугине, 90180",+380 04 024-40-74,veniiamynhunko@example.net
Туркало,Анжела,Назарівна,Жіноча,1949-06-03,Випробувач,село Токмак,"провулок 15-та Лінія 6-й ст. Люстдорфської дороги, буд. 19 кв. 15, Снятин, 14436",+380 17 059-80-90,wartym@example.com
Гоголь,Богуслава,Назарівна,Жіноча,1951-07-17,Краєзнавець,місто Глухів,"узвіз Сергія Ядова, буд. 689, Селидове, 45822",088 481 64 16,baranykpriska@example.net
Ейбоженко,Августин,Янович,Чоловіча,1988-11-29,Медик,селище Приморськ,"узвіз Ольгіївська, буд. 089 кв. 38, Хутір-Михайлівський, 63393",077 991 38 31,onyshchenkomykolai@example.com
Гупало,Омелян,Богданович,Чоловіча,1956-05-01,Нотаріус,село Рудки,"проспект Прохоровський, буд. 356 кв. 3, Зоринськ, 24178",373-35-36,nhaidenko@example.com
Засядько,Богданна,Янівна,Жіноча,1972-06-09,Електрик,селище Дунаївці,"проспект Кипарисний 2-й, буд. 5 кв. 727, Переяслав, 94824",+380 67 295 82 32,iaremkivviktor@example.org
Михалюк,Анжела,Олексіївна,Жіноча,1962-08-03,Різноробочий,селище Зеленодольськ,"проспект Дніпропетровська дорога, буд. 8 кв. 055, Новоазовськ, 52360",+380 (39) 865-68-66,vernydubbohodar@example.com
Яремчук,Варвара,Олександрівна,Жіноча,1961-03-19,Пілот,село Новомиргород,"парк Лиманчик 2-й Лінія 11-та, буд. 00, Новогродівка, 16100",+380 31 312-68-75,vladyslavkolodub@example.com
Конопля,Марта,Михайлівна,Жіноча,1961-12-15,Композитор,місто Антрацит,"сквер Богдана Хмельницького, буд. 19 кв. 29, Корсунь-Шевченківський, 20216",+380 (93) 717-09-12,galeksandrenko@example.org
Теліженко,Олександр,Янович,Чоловіча,1984-07-12,Бухгалтер,село Краматорськ,"набережна 40-річчя оборони Одеси, буд. 0 кв. 11, Антрацит, 46014",+380 (00) 748-27-27,varvaratymchuk@example.com
